x,y
0.00150,5.58946e-04
0.00184,5.30771e-04
0.00227,5.04016e-04
0.00279,4.78610e-04
0.00343,4.54485e-04
0.00422,4.31575e-04
0.00519,4.09821e-04
0.00638,3.89163e-04
0.00785,3.69546e-04
0.00965,3.50918e-04
0.01187,3.33229e-04
0.01460,3.16432e-04
0.01796,3.00482e-04
0.02209,2.85335e-04
0.02716,2.70952e-04
0.03341,2.57294e-04
0.04109,2.44325e-04
0.05053,2.32009e-04
0.06214,2.20314e-04
0.07643,2.09208e-04
0.09400,1.98663e-04
0.11560,1.88649e-04
0.14217,1.79139e-04
0.17485,1.70109e-04
0.21503,1.61535e-04
0.26446,1.53392e-04
0.32524,1.45660e-04
0.40000,1.38318e-04
