x,F_over_F0
10,0.9300
172,0.9099
1003,0.8724
2827,0.8610
3941,0.8536
5056,0.8469
6170,0.8395
7285,0.8328
8399,0.8241
9514,0.8154
12837,0.7638
13465,0.7437
13850,0.7236
14134,0.7022
14316,0.6821
14458,0.6620
14580,0.6385
14681,0.6137
14762,0.5896
14843,0.5648
14904,0.5447
14965,0.5226
15025,0.4958
15046,0.4833
15051,0.4667
15051,0.4333
15051,0.4000
15051,0.3667
15051,0.3333
15051,0.3000
15051,0.2667
15051,0.2333
15051,0.2000
15051,0.1667
15051,0.1333
15051,0.1000
15051,0.0667
15051,0.0333
15066,0.0000
