x,F_over_F0
5.0,0.9675
15.0,0.9570
25.0,0.9494
35.0,0.9438
45.0,0.9406
55.0,0.9373
65.0,0.9353
75.0,0.9327
85.0,0.9314
95.0,0.9294
105.0,0.9281
115.0,0.9268
125.0,0.9261
135.0,0.9241
145.0,0.9235
155.0,0.9228
165.0,0.9222
175.0,0.9212
185.0,0.9202
195.0,0.9192
205.0,0.9182
215.0,0.9182
225.0,0.9176
235.0,0.9176
245.0,0.9162
255.0,0.9156
265.0,0.9149
275.0,0.9149
285.0,0.9143
295.0,0.9136
305.0,0.9130
315.0,0.9130
325.0,0.9123
335.0,0.9123
345.0,0.9116
355.0,0.9110
365.0,0.9110
375.0,0.9110
385.0,0.9103
395.0,0.9097
405.0,0.9097
415.0,0.9090
425.0,0.9090
435.0,0.9084
445.0,0.9084
455.0,0.9077
465.0,0.9077
475.0,0.9077
485.0,0.9064
495.0,0.9064
505.0,0.9064
515.0,0.9064
525.0,0.9057
535.0,0.9057
545.0,0.9051
555.0,0.9051
565.0,0.9051
575.0,0.9051
585.0,0.9044
595.0,0.9044
605.0,0.9038
615.0,0.9038
625.0,0.9038
635.0,0.9028
645.0,0.9018
655.0,0.9018
665.0,0.9018
675.0,0.9018
685.0,0.9018
695.0,0.9018
705.0,0.9018
715.0,0.9018
725.0,0.9011
735.0,0.9011
745.0,0.9005
755.0,0.9005
765.0,0.9005
775.0,0.9005
785.0,0.9005
795.0,0.9005
