cycle_since_stageII_onset,F_over_F0
0.0000,1.0010
3359.0000,0.9838
9561.0000,0.9769
15762.0000,0.9730
21964.0000,0.9712
28165.0000,0.9691
34367.0000,0.9678
40568.0000,0.9659
46770.0000,0.9642
52972.0000,0.9628
59173.0000,0.9616
65375.0000,0.9615
71576.0000,0.9594
77778.0000,0.9592
83979.0000,0.9587
90181.0000,0.9580
96382.0000,0.9560
102584.0000,0.9550
108786.0000,0.9541
114987.0000,0.9534
121189.0000,0.9526
127390.0000,0.9519
133592.0000,0.9509
139793.0000,0.9502
145995.0000,0.9496
152196.0000,0.9487
158398.0000,0.9474
164599.0000,0.9464
170801.0000,0.9460
177003.0000,0.9452
183204.0000,0.9444
189406.0000,0.9431
195607.0000,0.9424
201809.0000,0.9419
