cycle_since_stageII_onset,F_over_F0
0.0000,1.0010
3359.0000,0.9933
9561.0000,0.9805
15762.0000,0.9730
21964.0000,0.9678
28165.0000,0.9638
34367.0000,0.9613
40568.0000,0.9590
46770.0000,0.9574
52972.0000,0.9560
59173.0000,0.9546
65375.0000,0.9532
71576.0000,0.9518
77778.0000,0.9505
83979.0000,0.9492
90181.0000,0.9480
96382.0000,0.9468
102584.0000,0.9456
108786.0000,0.9444
114987.0000,0.9432
121189.0000,0.9422
127390.0000,0.9412
133592.0000,0.9401
139793.0000,0.9392
145995.0000,0.9383
152196.0000,0.9374
158398.0000,0.9365
164599.0000,0.9356
170801.0000,0.9349
177003.0000,0.9341
183204.0000,0.9332
189406.0000,0.9323
195607.0000,0.9314
201809.0000,0.9308
