position_mm,wear_depth_mm
0.039,0.0003525
0.057,0.0003365
0.094,0.0003066
0.112,0.0002927
0.13,0.0002838
0.167,0.0002751
0.185,0.0002709
0.204,0.0002688
0.24,0.0002586
0.259,0.0002546
0.277,0.0002546
0.314,0.0002468
0.332,0.0002507
0.387,0.0002393
0.406,0.000232
0.442,0.0002114
0.461,0.0002082
0.479,0.0001987
0.516,0.0001839
0.534,0.0001756
0.571,0.0001637
0.589,0.0001637
0.607,0.000165
0.644,0.0001481
0.662,0.0001413
0.681,0.000137
0.717,0.0001268
0.736,0.0001258
0.772,0.000123
0.791,0.0001211
0.809,0.0001021
0.828,0.0001005
0.846,9.898e-05
0.864,8.093e-05
0.883,7.318e-05
