case_id,fonte,classe,mae,maxerr,resid_std,teto_mae_per_curve,teto_classe,prova_assinada,fingerprint
bauer2024_M12_fig8_test2,Bauer 2024 — M8/M12 spectrum (Eng. Fail. Anal.),replicas (F5),0.029021211667702607,0.1795016694456586,0.046050521458887106,0.029021211667702607,no teto,scatter de réplicas (desvio-à-mediana 0.349),20be19aabe11
bauer2024_M12_fig8_test3,Bauer 2024 — M8/M12 spectrum (Eng. Fail. Anal.),replicas (F5),0.024082800508758696,0.11976158808897669,0.02511305040605043,0.024082800508758696,no teto,scatter de réplicas (desvio-à-mediana 0.349),20be19aabe11
bauer2024_M8_fig6_rep1,Bauer 2024 — M8/M12 spectrum (Eng. Fail. Anal.),replicas (F5),0.04313797747039589,0.125916131742353,0.04297546565978457,0.04313797747039589,no teto,scatter de réplicas (desvio-à-mediana 0.328),20be19aabe11
bauer2024_M8_fig6_rep4,Bauer 2024 — M8/M12 spectrum (Eng. Fail. Anal.),replicas (F5),0.07825038454206276,0.17085255458631493,0.09319625812170419,0.07825038454206276,no teto,scatter de réplicas (desvio-à-mediana 0.328),20be19aabe11
bauer2024_M8_fig6_rep5,Bauer 2024 — M8/M12 spectrum (Eng. Fail. Anal.),replicas (F5),0.049390624748631755,0.11164501541955879,0.058592100699965795,0.049390624748631755,no teto,scatter de réplicas (desvio-à-mediana 0.328),20be19aabe11
bauer2024_M8_fig6_rep6,Bauer 2024 — M8/M12 spectrum (Eng. Fail. Anal.),replicas (F5),0.07570129856007822,0.13002420129202574,0.046432499779004884,0.07570129856007822,no teto,scatter de réplicas (desvio-à-mediana 0.328),20be19aabe11
chu2026ti_D0p4mm_F0_49kN_test2,Chu 2026 — MJ10 superligas Junker (Tribol. Int.),replicas (F5),0.15667400040901996,0.5259022931219134,0.190879289159575,0.09693835176891481,transfer,"form-limited com prova em lei (5 degraus): onset/chute são função explícita de (D,F0) — estrutura que nenhuma forma nomeável carrega",20be19aabe11
chu2026ti_D0p4mm_F0_61kN_test7,Chu 2026 — MJ10 superligas Junker (Tribol. Int.),replicas (F5),0.1499426225781072,0.27022887748316704,0.16723815817944165,0.13865469356121424,transfer,"form-limited com prova em lei (5 degraus); vida 3,8× a do test2 com mesmo D — proteção de F0 mediada por µ(N), lei do autor inverte",20be19aabe11
chu2026ti_D0p4mm_F0_73kN_test8,Chu 2026 — MJ10 superligas Junker (Tribol. Int.),replicas (F5),0.16128756246581497,0.39322266102541714,0.19350382244763545,0.09512464443227515,transfer,form-limited com prova em lei (5 degraus); idem test7 (F0 73 kN),20be19aabe11
chu2026ti_D0p5mm_F0_49kN_Ra1p6um_test9,Chu 2026 — MJ10 superligas Junker (Tribol. Int.),replicas (F5),0.04589451500812418,0.10532089797307909,0.05485352878561801,0.0336,transfer,"form-limited com prova em lei (5 degraus); a mais próxima (0,0454/0,1056/0,0544) e sem alavanca que feche σ sem quebrar test5/6 — e a digitalização carrega discrepância Tabela-1 de 29% declarada na nota de aparato",20be19aabe11
chu2026ti_D0p5mm_F0_49kN_test3,Chu 2026 — MJ10 superligas Junker (Tribol. Int.),replicas (F5),0.07997357043766946,0.11394101092715614,0.030309673393629003,0.01914002778665925,transfer,"form-limited com prova em lei (5 degraus); fecha isolada com slip_onset_W=4000 (0,0402/0,0666/0,0264) — constante não transfere",20be19aabe11
chu2026ti_D0p7mm_F0_49kN_test4,Chu 2026 — MJ10 superligas Junker (Tribol. Int.),replicas (F5),0.13523139155564365,0.22638522225013535,0.12499973046297187,0.08316951322358272,transfer,"form-limited com prova em lei (5 degraus); N90=406 > N90(0,4mm)=278 — não-monotonicidade em D que lei uniforme não tem",20be19aabe11
eccles2010_fig6_annotated_4kN_axial,Eccles 2010 — M8 prevailing-torque (Proc IMechE C),replicas (F5),0.146615288606567,0.4736561978475947,0.18915583889659393,0.146615288606567,no teto,sobreposição axial (G-B1 FAIL: receita PR-31 levou o res.máx de 0.467 a 1.028) — o engine não tem contorno axial externo,20be19aabe11
eccles2010_fig7d_axial_3p1kN_constant,Eccles 2010 — M8 prevailing-torque (Proc IMechE C),replicas (F5),0.06654084600259537,0.0901266330003203,0.05378821066223744,0.06654084600259537,no teto,sobreposição axial — PASSA no tripé por ARTEFATO: o FLOOR_TRIM corta os 4 pontos da cauda a zero. Sai dos aprovados se a família for tratada como unidade,20be19aabe11
eccles2010_fig8a_no_axial_baseline1,Eccles 2010 — M8 prevailing-torque (Proc IMechE C),prova de piso (F7),0.04886738219238905,0.13195531526686338,0.039524749865770516,0.04886738219238905,no teto,"prova de piso (PROVA): res.máx 0.1320/0.1866 · σ 0.0395/0.0698 — denominador RE-MEDIDO em 2026-08-15 (prereg eccles-par-replica-declarado). O anterior (0.257/0.083) era o piso INVÁLIDO que a P-15 retratou: dispersão entre cargas axiais de 0 a 3,5 kN, a variável varrida do paper. O válido vem do par declarado fig8a×fig8c — baseline1/baseline2, rótulo DO AUTOR, ambos axial=0. ⚠️ Grau PROVA e não FORTE de propósito: passa a barra FORTE (0.13196) por 4e-6, margem que não sobrevive a arredondamento — o veredito é estável, o grau não.",20be19aabe11
eccles2010_fig8b_axial_0p7kN_intermittent,Eccles 2010 — M8 prevailing-torque (Proc IMechE C),replicas (F5),0.0433986650392547,0.12959183673469388,0.0543238151620906,0.0433986650392547,no teto,"sobreposição axial — e o FLOOR_TRIM corta 27 dos 35 pontos, logo o MAE 0.044 é pontuado sobre 8 pontos",20be19aabe11
eccles2010_fig8c_no_axial_baseline2,Eccles 2010 — M8 prevailing-torque (Proc IMechE C),prova de piso (F7),0.04555530216499425,0.14629760295473773,0.0386207305334995,0.04555530216499425,no teto,"prova de piso (PROVA): res.máx 0.1463/0.1866 · σ 0.0386/0.0698 — denominador RE-MEDIDO em 2026-08-15 (prereg eccles-par-replica-declarado). O anterior (0.257/0.083) era o piso INVÁLIDO que a P-15 retratou. O válido vem do par declarado fig8a×fig8c — baseline1/baseline2, rótulo DO AUTOR, ambos axial=0. Falha a barra FORTE no res.máx (0.1463 > 0.13196) e passa em PROVA.",20be19aabe11
eccles2010_fig8d_axial_3p5kN_intermittent,Eccles 2010 — M8 prevailing-torque (Proc IMechE C),replicas (F5),0.12900642356483558,0.24590964949444838,0.09265746516219621,0.12900642356483558,no teto,sobreposição axial (G-B1 FAIL: res.máx 0.252 -> 0.400 com a receita),20be19aabe11
jcsr2023_plain_outdoor,Yang/Bai/Ding 2023 — M20 relaxação x ambiente (JCSR),replicas (F5),0.06213394969000801,0.1312753329620474,0.059738027607590616,0.06213394969000801,no teto,cliff/rebound de corrosão (forma faltante),20be19aabe11
