cycle,mu_plate
2,0.1143
19,0.1113
38,0.1197
56,0.1251
75,0.1271
94,0.1291
113,0.1310
131,0.1320
150,0.1330
169,0.1355
188,0.1369
206,0.1374
225,0.1394
244,0.1399
263,0.1369
281,0.1419
300,0.1429
319,0.1448
338,0.1463
356,0.1433
373,0.1478
392,0.1493
410,0.1502
429,0.1507
448,0.1478
467,0.1537
485,0.1552
504,0.1557
523,0.1567
542,0.1586
560,0.1596
579,0.1601
598,0.1616
617,0.1621
635,0.1631
654,0.1626
673,0.1631
692,0.1655
710,0.1665
729,0.1680
746,0.1695
764,0.1704
783,0.1709
802,0.1719
821,0.1729
839,0.1734
858,0.1759
877,0.1788
896,0.1823
914,0.1847
933,0.1867
952,0.1901
971,0.1951
989,0.2000
1008,0.2064
1027,0.2153
1046,0.2251
1064,0.2350
1083,0.2463
1102,0.2581
