[parallel] 202 casos em 6 workers
  [1/202] liu2017_axial_F0_15kN                      mae=0.0032
  [2/202] liu2017_axial_F0_16p5kN                    mae=0.0089
  [3/202] sun2025efa109235_axial_F7.5kN_crimp        mae=0.0219
  [4/202] liu2017_axial_F0_19p5kN                    mae=0.0126
  [5/202] liu2017_axial_F0_18kN                      mae=0.0205
  [6/202] liu2017_axial_AF_8p75kN                    mae=0.0313
  [7/202] liu2017_axial_AF_7p5kN                     mae=0.0363
  [8/202] liu2017_axial_F0_21kN                      mae=0.008
  [9/202] liu2017_axial_AF_12p5kN                    mae=0.018
  [10/202] liu2017_axial_AF_11p25kN                   mae=0.0316
  [11/202] liu2016wear_fig9a_m35nm                    mae=0.047
  [12/202] liu2016wear_fig9a_m45nm                    mae=0.0504
  [13/202] liu2016wear_fig9a_m50nm                    mae=0.0426
  [14/202] liu2016wear_fig9a_m30nm                    mae=0.0471
  [15/202] liu2016wear_fig9a_m40nm                    mae=0.0537
  [16/202] liu2016wear_fig11a_af7p5kn                 mae=0.0154
  [17/202] liu2016wear_fig11a_af8p75kn                mae=0.0262
  [18/202] liu2016wear_fig11a_af11p25kn               mae=0.0326
  [19/202] liu2016wear_fig11a_af10kn                  mae=0.0315
  [20/202] liu2016wear_fig11a_af12p5kn                mae=0.0367
  [21/202] zhang18_fig13_26kN_preload_vs_cycles       mae=0.0174
  [22/202] liu2016wear_fig13a_dry                     mae=0.039
  [23/202] liu2016wear_fig13a_mos2                    mae=0.0134
  [24/202] liu2016wear_fig7_run1_1e6cyc               mae=0.0453
  [25/202] sun2025efa109235_axial_F7.5kN_standard     mae=0.0253
  [26/202] liu2016wear_fig7_run2_5e6cyc               mae=0.0603
  [27/202] qin2024acm_25C_i0p6pct                     mae=0.0047
  [28/202] qin2024acm_25C_i0pct                       mae=0.002
  [29/202] qin2024acm_25C_i1p2pct                     mae=0.0099
  [30/202] zhang18_fig16_with_locker_preload_vs_cycle mae=0.0081
  [31/202] zhang18_fig13_14kN_preload_vs_cycles       mae=0.0249
  [32/202] zhang18_fig16_without_locker_preload_vs_cy mae=0.0229
  [33/202] zhang19_fig4_2e5cyc_Test10to12_preload_vs_ mae=0.0203
