N,P_frac,theta_pct_eixoP
0.941946,0.9987,-0.251
0.953281,0.9987,-0.251
0.964752,0.9987,-0.251
0.976361,0.9987,
0.98811,0.9987,-0.251
1,0.9987,-0.251
1.01203,0.9975,0.000
1.02421,0.9975,0.000
1.03654,0.9975,0.000
1.04901,0.9975,0.000
1.06163,0.9975,0.000
1.07441,0.9937,0.000
1.08734,0.9937,0.000
1.10042,0.9937,0.000
1.11366,0.9937,0.000
1.12706,0.9937,0.000
1.14062,0.9912,0.000
1.15435,0.9899,0.000
1.16824,0.9899,0.000
1.1823,0.9912,0.000
1.19653,0.9899,0.000
1.21092,0.9874,0.000
1.2255,0.9874,0.000
1.24024,0.9874,0.000
1.25517,0.9849,0.000
1.27027,0.9849,0.000
1.28556,0.9849,0.000
1.30103,0.9849,0.000
1.31668,0.9849,0.000
1.33252,0.9824,0.000
1.34856,0.9824,0.000
1.36479,0.9824,0.000
1.38121,0.9824,0.000
1.39783,0.9824,0.000
1.41465,0.9799,0.000
1.43167,0.9786,0.000
1.4489,0.9799,0.000
1.46634,0.9774,0.000
1.48398,0.9749,0.000
1.50184,0.9761,0.000
1.51991,0.9761,0.000
1.5382,0.9761,0.000
1.55671,0.9724,0.000
1.57544,0.9724,0.000
1.5944,0.9724,0.000
1.61359,0.9724,0.000
1.633,0.9724,0.000
1.65265,0.9698,0.000
1.67254,0.9698,0.000
1.69267,0.9698,0.000
1.71303,0.9698,0.000
1.73365,0.9673,0.000
1.75451,0.9673,0.000
1.77562,0.9673,0.000
1.79699,0.9673,0.000
1.81861,0.9648,0.000
1.8405,0.9648,0.000
1.86264,0.9648,0.000
1.88506,0.9648,0.000
1.90774,0.9648,0.000
1.9307,0.9611,0.000
1.95393,0.9598,0.000
1.97744,0.9611,0.000
2.00124,0.9611,0.000
2.02532,0.9585,0.000
2.04969,0.9573,0.000
2.07436,0.9573,0.000
2.09932,0.9573,0.000
2.12458,0.9573,0.000
2.15014,0.9573,0.000
2.17602,0.9573,0.000
2.2022,0.9573,0.000
2.2287,0.9573,0.000
2.25552,0.9573,0.000
2.28266,0.9573,0.000
2.31013,0.9573,0.000
2.33793,0.9573,0.000
2.36606,0.9573,0.000
2.39453,0.9573,0.000
2.42335,0.9585,0.000
2.45251,0.9573,0.000
2.48202,0.9548,0.000
2.51189,0.9548,0.000
2.54211,0.9548,0.000
2.5727,0.9548,0.000
2.60366,0.9548,0.000
2.63499,0.9548,0.000
2.6667,0.9548,0.000
2.69879,0.9548,0.000
2.73126,0.9548,0.000
2.76413,0.9548,0.000
2.79739,0.9548,0.000
2.83105,0.9548,0.000
2.86512,0.9548,0.000
2.8996,0.9548,0.000
2.93449,0.9548,0.000
2.9698,0.9548,0.000
3.00554,0.9535,0.000
3.0417,0.9523,0.000
3.07831,0.9523,0.000
3.11535,0.9523,0.000
3.15284,0.9523,0.000
3.19077,0.9523,0.000
3.22917,0.9523,0.000
3.26803,0.9523,0.000
3.30735,0.9523,0.000
3.34715,0.9523,0.000
3.38743,0.9523,0.000
3.42819,0.9523,0.000
3.46944,0.9523,0.000
3.51119,0.9485,0.000
3.55344,0.9485,0.000
3.5962,0.9497,0.000
3.63948,0.9497,0.000
3.68327,0.9497,0.000
3.72759,0.9497,0.000
3.77245,0.9497,0.000
3.81784,0.9497,0.000
3.86379,0.9497,0.000
3.91028,0.9497,0.000
3.95733,0.9497,0.000
4.00495,0.9485,0.000
4.05315,0.9460,0.000
4.10192,0.9460,0.000
4.15128,0.9460,0.000
4.20123,0.9460,0.000
4.25179,0.9460,0.000
4.30295,0.9460,0.000
4.35473,0.9460,0.000
4.40713,0.9460,0.000
4.46016,0.9460,0.000
4.51383,0.9447,0.000
4.56815,0.9422,0.000
4.62312,0.9422,0.000
4.67875,0.9422,0.000
4.73505,0.9422,0.000
4.79203,0.9422,0.000
4.84969,0.9422,0.000
4.90805,0.9422,0.000
4.96711,0.9422,0.000
5.02688,0.9422,0.000
5.08737,0.9397,0.000
5.14859,0.9397,0.000
5.21054,0.9397,0.000
5.27324,0.9397,0.000
5.3367,0.9397,0.000
5.40092,0.9397,0.000
5.46591,0.9397,0.000
5.53168,0.9397,0.000
5.59825,0.9397,0.000
5.66561,0.9397,0.000
5.73379,0.9397,0.000
5.80278,0.9397,0.000
5.87261,0.9397,0.000
5.94328,0.9397,0.000
6.01479,0.9372,0.251
6.08717,0.9372,0.251
6.16042,0.9372,0.251
6.23455,0.9372,0.251
6.30957,0.9372,0.251
6.3855,0.9372,0.251
6.46234,0.9372,0.251
6.5401,0.9372,0.251
6.6188,0.9372,0.251
6.69845,0.9372,0.251
6.77905,0.9372,0.251
6.86062,0.9372,0.251
6.94318,0.9372,0.251
7.02673,0.9372,0.251
7.11128,0.9334,0.251
7.19686,0.9334,0.251
7.28346,0.9347,0.251
7.3711,0.9347,0.251
7.4598,0.9347,0.251
7.54957,0.9347,0.251
7.64041,0.9347,0.251
7.73235,0.9347,0.251
